endTime,artistName,trackName,msPlayed
2020-12-02 09:39,Carlie Hanson,Good Enough,216152
2020-12-02 09:42,Nina Nesbitt,Colder,188493
2020-12-02 09:46,Mae Muller,I Don't Want Your Money,180245
2020-12-02 09:49,Mae Muller,Jenny,175483
2020-12-02 09:52,Mae Muller,HFBD,148343
2020-12-02 09:55,Charlotte Lawrence,Sleep Talking,224223
2020-12-02 10:00,Jorja Smith,Come Over (feat. Popcaan),184818
2020-12-02 13:00,Qveen Herby,BDE,133438
2020-12-03 07:30,Qveen Herby,BDE,168809
2020-12-03 07:33,Charli XCX,Sucker,163120
2020-12-03 07:37,Maroon 5,Payphone,231386
2020-12-03 07:40,JP Saxe,"Hey Stupid, I Love You",181000
2020-12-03 07:42,Tom Walker,Just You and I,174982
2020-12-03 07:45,Little Mix,Wasabi,154786
2020-12-03 07:48,Tate McRae,vicious,184846
2020-12-03 07:52,Cali Y El Dandee,Tequila Sunrise,234306
2020-12-03 07:57,Doja Cat,Freak,284480
2020-12-03 08:00,blackbear,me & ur ghost,201398
2020-12-03 08:03,Alina Baraz,Floating (feat. Khalid) [filous Remix],200865
2020-12-03 08:07,Tones And I,Dance Monkey,209438
2020-12-03 08:09,Olivia O'Brien,NOW,139427
2020-12-03 08:57,Olivia O'Brien,NOW,60192
2020-12-04 04:29,Kiiara,Gold,30000
2020-12-04 04:33,Kiiara,Gold,206791
2020-12-04 04:35,Adele,Send My Love (To Your New Lover),139874
2020-12-04 04:42,Adele,Send My Love (To Your New Lover),27567
2020-12-04 07:33,Adele,Send My Love (To Your New Lover),193897
2020-12-04 07:36,Calica,Superficial Love,169565
2020-12-04 07:40,Lime Cordiale,Robbery,223233
2020-12-04 07:43,Emily Burns,"I Love You, You're The Worst",174640
2020-12-04 07:46,FLETCHER,Shh...Don't Say It,168933
2020-12-04 07:48,BENEE,Glitter,180146
2020-12-04 07:53,Gabrielle Aplin,Losing Me,180640
2020-12-04 07:55,Meghan Trainor,Me Too,128630
2020-12-04 12:19,Meghan Trainor,Me Too,17745
2020-12-04 12:23,Tainy,Adicto (with Anuel AA & Ozuna),240000
2020-12-04 12:24,Tainy,Adicto (with Anuel AA & Ozuna),60000
2020-12-04 12:25,Tainy,Adicto (with Anuel AA & Ozuna),14340
2020-12-04 12:27,Chelsea Collins,Water Run Dry,164302
2020-12-04 12:30,Chris Brown,Go Crazy,176960
2020-12-04 12:33,Y2K,Lalala,160626
2020-12-04 12:37,Sam Smith,I'm Not The Only One,235737
2020-12-05 13:09,Sam Smith,I'm Not The Only One,16106
2020-12-05 13:13,Sam Smith,I'm Not The Only One,221973
2020-12-05 13:17,Coldplay,Paradise,278719
2020-12-05 13:28,Maroon 5,Animals,107449
2020-12-07 11:53,Sabrina Carpenter,"Let Me Move You - From the Netflix film ""Work It""",147070
2020-12-07 11:55,Lucas & Steve,Letters,113714
2020-12-07 11:55,Carlie Hanson,Daze Inn,8891
2020-12-07 13:12,Maroon 5,Animals,46920
