song_id,track_name,album_name,uri_id,release_date,explicit,type,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2jX5c5RFp0A9E1GDsvGxIa,Balance ton quoi,Brol,spotify:track:2jX5c5RFp0A9E1GDsvGxIa,2018-10-05,False,track,68,0.703,0.442,-10.383,0.0823,0.594,2.39e-05,0.276,0.381,115.932
5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),STAY (with Justin Bieber),spotify:track:5HCyWlXZPP0y6Gqq8TgA20,2021-07-09,True,track,98,0.591,0.764,-5.484,0.0483,0.0383,0,0.103,0.478,169.928
6gZpNkvDpjsTi02VV1O2WI,What This Mission's About,Da 5 Bloods (Original Motion Picture Score),spotify:track:6gZpNkvDpjsTi02VV1O2WI,2020-05-29,False,track,24,0.163,0.326,-12.882,0.035,0.501,0.899,0.205,0.147,130.279
1zLBsSVxETQOfINOLYvT5m,GIRL LIKE ME,TRANSLATION,spotify:track:1zLBsSVxETQOfINOLYvT5m,2020-11-02,True,track,80,0.965,0.485,-8.784,0.191,0.0206,0.0237,0.0655,0.312,124.025
3q4cfRBOyj4WqQYV9HrsUh,Love Is Religion (The Blessed Madonna Remix) [Mixed],Club Future Nostalgia,spotify:track:3q4cfRBOyj4WqQYV9HrsUh,2020-08-28,False,track,58,0.8,0.816,-6.711,0.111,0.0471,1.4e-06,0.373,0.868,122.987
5wANPM4fQCJwkGd4rN57mH,drivers license,drivers license,spotify:track:5wANPM4fQCJwkGd4rN57mH,2021-05-21,True,track,91,0.561,0.431,-8.81,0.0578,0.768,1.42e-05,0.106,0.137,143.875
3WyXHCZptjwRhZQ08JrnYt,running in place,running in place,spotify:track:3WyXHCZptjwRhZQ08JrnYt,2021-04-23,False,track,38,0.574,0.384,-7.257,0.0274,0.763,2.09e-06,0.0816,0.377,90.025
589jILaMtVqRiVxubmnLiF,On Me (Remix) (with Megan Thee Stallion),On Me (Remix) (with Megan Thee Stallion),spotify:track:589jILaMtVqRiVxubmnLiF,2021-04-27,True,track,63,0.867,0.576,-6.433,0.334,0.0023,0,0.148,0.417,77.983
4dASQiO1Eoo3RJvt74FtXB,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Suicide Squad: The Album,spotify:track:4dASQiO1Eoo3RJvt74FtXB,2016-06-24,True,track,77,0.502,0.786,-4.378,0.317,0.255,0,0.65,0.739,169.021
3dVumZf1SZX1OzsNht9reC,Steal My Sunshine (feat. Cherry Glazerr),Steal My Sunshine / Novocaine For The Soul,spotify:track:3dVumZf1SZX1OzsNht9reC,2021-09-24,False,track,52,0.562,0.846,-5.552,0.0346,0.0584,0.000313,0.187,0.454,95.015
